Date,Open,High,Low,Close,Adj Close,Volume
10/18/2016,515,520.25,513.650024,519.525024,458.411072,6388134
10/19/2016,521,522.849976,518,520.900024,459.624298,3509836
10/20/2016,522.375,525.349976,516.900024,518.325012,457.352203,3535490
10/21/2016,517.5,520.5,511.25,519.150024,462.993042,3863620
10/24/2016,518.75,521.349976,512.75,513.549988,457.99881,2902974
10/25/2016,518.25,519.450012,507.600006,508.600006,453.58429,5636014
10/26/2016,508.5,509.924988,504.649994,507.100006,452.246521,2775216
10/27/2016,508.950012,508.975006,500.549988,501.75,447.47522,7227790
10/28/2016,502.600006,505,496.575012,498.75,444.799744,5840706
11/1/2016,503.399994,503.399994,493.200012,494.725006,441.210144,6332798
11/2/2016,492.399994,493.75,490,490.524994,437.464417,5377194
11/3/2016,490.524994,491,482.549988,483.424988,431.132477,5225108
11/4/2016,483.5,489.600006,480.5,485.5,432.983032,6005548
11/7/2016,492.5,493,487.5,488.975006,436.082123,4537672
11/8/2016,493.450012,493.875,485.299988,491.299988,438.155609,5261108
11/9/2016,465,487.299988,450.5,479.149994,427.319916,12764158
11/10/2016,481.25,481.25,467.5,469.700012,418.892151,7287330
11/11/2016,470,472.5,459.350006,460.774994,410.932526,7096782
11/15/2016,462,469.975006,454.274994,461.774994,411.82431,9235850
11/16/2016,465,478.424988,464.274994,470.450012,419.560974,12222616
11/17/2016,467.125,474.5,463.200012,464.899994,414.611328,5706730
11/18/2016,465,466.625,458.75,460,410.241333,6040228
11/21/2016,463.450012,463.450012,453.475006,455.549988,406.272705,7940568
11/22/2016,458.450012,464.325012,455.825012,457.100006,407.65509,5483126
11/23/2016,461.049988,461.450012,456.225006,460.125,410.352844,8251786
11/24/2016,464.100006,469.950012,461.649994,465.149994,414.83432,16780644
11/25/2016,465.225006,492.5,465.225006,488.75,435.881439,12631380
11/28/2016,489.649994,491.725006,485.299988,489.875,436.884705,7365712
11/29/2016,489.399994,492.350006,483.549988,486.299988,433.696442,6125506
11/30/2016,486.5,488.5,480.524994,487.774994,435.011871,8500918
12/1/2016,488,491.774994,483.5,487.799988,435.03418,4611590
12/2/2016,482.399994,484.799988,480.549988,482.25,430.084564,4453228
12/5/2016,482.950012,484.299988,479,480.825012,428.81369,3659576
12/6/2016,480.899994,489.75,480.825012,483.25,430.97641,3562110
12/7/2016,484,486.5,480.100006,483.200012,430.931854,3385980
12/8/2016,485.024994,493.049988,485.024994,492.325012,439.069763,5941662
12/9/2016,492.5,504.075012,490.75,494.674988,441.165497,8648384
12/12/2016,491.399994,491.399994,482.600006,488.674988,435.814545,5345020
12/13/2016,490.25,496.424988,485.549988,495.100006,441.544586,4854282
12/14/2016,495.5,502.475006,492.049988,499.875,445.80304,5382614
12/15/2016,498.700012,509.475006,494.5,496.174988,442.503296,7966416
12/16/2016,501.899994,504.850006,498.875,502.575012,448.211029,6436742
12/19/2016,503.049988,504.125,497.049988,502.325012,447.988037,4124134
12/20/2016,501,509.5,500.649994,506.075012,451.332397,7636498
12/21/2016,508,511,499.125,500.774994,446.605682,7343976
12/22/2016,501.25,503.5,484.75,492.350006,439.09201,7060054
12/23/2016,492.450012,503.299988,486.799988,494.225006,440.76416,7306036
12/26/2016,494,497,487.549988,491.375,438.222473,3213828
12/27/2016,491.375,500.950012,490,499.475006,445.44635,4912816
12/28/2016,501.475006,504.899994,497.5,499.25,445.245667,5476816
12/29/2016,501.875,504,494.075012,496.174988,442.503296,6240124
12/30/2016,499,506,496.375,505.299988,450.641174,7267768
1/2/2017,505.549988,506.475006,499.674988,500.549988,446.405029,2335222
1/3/2017,502.049988,502.450012,491,496.924988,443.17215,6778482
1/4/2017,497.524994,502.100006,496.125,498.875,444.911255,7073586
1/5/2017,500.799988,504.75,494.375,498.075012,444.197754,8207074
1/6/2017,497.450012,499.424988,484.024994,486.125,433.540405,14393448
1/9/2017,486.125,488.475006,482.5,485.174988,432.693176,10545692
1/10/2017,488.5,490.5,483.975006,485.274994,432.782379,11939854
1/11/2017,487.100006,489.225006,481.975006,484.549988,432.135773,12241574
1/12/2017,488.774994,502.200012,488.774994,500.024994,445.936859,11855740
1/13/2017,515,520,481.350006,487.899994,435.123383,31276246
1/16/2017,482.5,482.725006,476.225006,477.825012,426.138214,12351372
1/17/2017,478.125,482,476.200012,477.700012,426.026703,5560094
1/18/2017,479.049988,480.5,474.899994,475.399994,423.975494,5952962
1/19/2017,475.5,479.799988,474.049988,479.049988,427.230682,8876480
1/20/2017,475,476.575012,473,474.350006,423.039124,9124742
1/23/2017,472.5,479,470,476.350006,424.822784,7948580
1/24/2017,475,475,470.049988,472.774994,421.63446,6826010
1/25/2017,473.049988,473.399994,467.399994,468.299988,417.643524,9978090
1/27/2017,466.924988,473.774994,450.575012,471.075012,420.118408,10635138
1/30/2017,468.75,475.75,464.424988,474.674988,423.328918,11369208
1/31/2017,470.75,470.75,452.174988,464.299988,414.076233,24068534
