id,profit,online,age,inc,tenure,district
1,21,0,,,6.329999924,1200
2,-6,0,6,3,29.5,1200
4,-4,0,,,2.25,1200
5,-61,0,2,9,9.909999847,1200
6,-38,0,,3,2.329999924,1300
7,-19,0,3,1,8.409999847,1300
8,59,0,5,8,7.329999924,1200
9,493,0,4,9,15.32999992,1200
10,-158,0,6,8,4.329999924,1100
11,395,0,6,3,13.5,1200
12,-62,0,6,1,6.25,1200
13,-124,0,7,6,17.40999985,1200
14,32,0,,,0.579999983,1200
15,-28,0,4,9,14.65999985,1200
16,632,0,4,7,26.65999985,1100
18,-60,0,,5,9.409999847,1200
19,-92,0,3,7,4.159999847,1200
20,68,0,4,8,22.15999985,1200
21,26,0,4,7,8.659999847,1300
22,-28,0,,,2.410000086,1200
23,-6,0,3,4,4.75,1200
24,43,0,,,6.829999924,1100
25,698,0,4,6,18.90999985,1300
26,-50,0,,,1.659999967,1200
27,-27,0,4,6,8.659999847,1200
29,-36,0,,,4.829999924,1200
31,-18,0,6,7,8.409999847,1200
32,-130,0,5,8,6.25,1200
33,-71,0,7,3,14.07999992,1200
34,291,0,4,6,29.5,1200
35,7,0,4,,5,1200
36,-32,0,2,1,2.5,1200
37,533,0,,,31.82999992,1200
38,88,0,4,7,8.579999924,1200
39,-162,0,,,4.329999924,1200
40,900,0,2,6,6.579999924,1200
41,383,0,,,13.82999992,1200
44,-49,0,2,7,6.159999847,1200
45,-8,0,,,2.5,1200
46,32,0,5,6,8.75,1200
47,259,0,,,0.159999996,1200
48,512,0,6,9,1.159999967,1200
49,-27,0,,,1.659999967,1200
50,-1,0,,,40,1100
51,313,0,4,7,8.75,1200
52,205,0,7,3,19.15999985,1200
54,367,0,5,7,7.329999924,1200
56,97,0,5,3,29,1200
57,316,0,6,6,22.40999985,1300
58,-44,0,,,6.25,1100
59,-27,0,4,9,15.07999992,1200
60,6,0,5,7,32.08000183,1200
61,-13,0,3,6,6.909999847,1200
62,-43,0,,,1.25,1300
63,362,0,,,0.409999996,1200
64,7,0,,,8.409999847,1200
65,-67,0,3,1,3.75,1100
66,-34,0,4,6,2.829999924,1200
68,-30,0,,,5.409999847,1200
69,277,0,7,3,15.07999992,1200
70,4,0,,,1.25,1300
73,-36,0,3,6,7.659999847,1200
75,-47,0,,,4.159999847,1200
76,220,0,7,3,2.5,1300
77,-213,0,4,6,11.65999985,1100
78,-41,0,4,6,6.159999847,1100
79,253,0,4,6,3.910000086,1200
80,-29,0,1,1,6.409999847,1200
81,-126,0,5,9,2.579999924,1200
82,-38,0,,,7.75,1200
83,83,0,2,5,5.159999847,1200
84,73,0,3,6,4.659999847,1200
85,-5,0,3,8,1.5,1200
86,380,0,3,7,7.079999924,1200
87,-56,0,6,1,34.5,1200
88,51,0,5,9,11.07999992,1200
89,56,0,6,7,4.579999924,1200
91,-69,0,7,6,10.07999992,1100
93,-141,0,7,9,33.5,1200
94,-48,0,4,6,10.25,1300
95,-66,0,4,6,8.829999924,1200
96,-6,0,4,1,5.5,1300
97,-65,0,,,5.079999924,1200
98,318,0,4,9,21.40999985,1200
99,768,0,4,4,10.65999985,1200
100,-24,0,,,5.909999847,1200
101,19,0,2,4,7.5,1200
102,208,0,3,6,6.75,1100
103,-83,0,5,7,6.829999924,1200
104,36,0,,,24,1200
105,295,0,7,3,20.57999992,1100
106,10,0,,,2,1200
107,46,0,4,3,5.579999924,1200
108,671,0,,,12.65999985,1200
109,56,0,4,8,21.07999992,1200
110,865,0,5,9,20.82999992,1200
111,-29,0,3,1,4.159999847,1200
112,13,0,,,3.5,1300
113,218,0,2,4,9.409999847,1200
114,94,0,,,7.579999924,1200
115,-82,0,7,1,1.909999967,1200
116,-134,0,3,1,3.75,1200
117,-2,0,5,7,4.579999924,1200
118,-3,0,3,2,6.409999847,1300
119,-45,0,3,6,7.5,1200
121,66,0,5,6,6.75,1200
